raw text,text_length,source
"Marti, pe 4 februrie, revin cu episodul nr. 2 din aceasta serie. Esti aici?",75,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Au intrat pe YouTube tutorialele alea bune de Premiere Pro! Bun clip!
Sa-mi dea like la comentariu cine s-a uitat pana la final!",128,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Mulțumim! Așteptăm bazele pt Adobe After Effects și Adobe Audition !  😊,71,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Respect 💜,9,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Buna treaba, bravo !",20,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Foarte tare , bravo!!!",22,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"17:38 te-ai dus cu dreapta, ai venit cu stanga",46,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Extrem de util! 👍,17,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Super bun videoclipul are tot ce vrei informatie explicatie sunet de toate, reeeeespect.",88,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Thanks man! :D,14,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Mersi frate esti foarte tare!,29,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Multumim muuult!!!  <3,22,https://www.youtube.com/watch?v=-4NM-ltbHsQ
hai ca ma minimul la specificati xD,35,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Lmao, la mine a mers mai bine pe full. Oricum ms. de tutorial, chiar mai ajutat.",80,https://www.youtube.com/watch?v=-4NM-ltbHsQ
mi-a placut ce ai prezentat,27,https://www.youtube.com/watch?v=-4NM-ltbHsQ
frumos explicat,15,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Frumos !! Multumesc ! Am nevoie de asa ceva . Stima si respect :) Sanatate !,76,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Super work ! Foarte fain canalul, ai un subscribe de la mine ☺️ și continuam seria ! KEEP it up !",97,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Multumesc ma ajuta chiar daca eu vreau sa fac montaje cu jocuri video :D,72,https://www.youtube.com/watch?v=-4NM-ltbHsQ
17:38 nu era vă place camera mea?,33,https://www.youtube.com/watch?v=-4NM-ltbHsQ
13:09! cum ai dat zoom?,23,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Ce calculator ai?,17,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Foarte bun tutorialul! Multumim!,32,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Fix de pe site l-am luat:))),28,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"cu ce pogramm ai filmat la tutrial.
ai filmat cu obs sau",56,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Gabriele bro faci o treaba excelenta. toata stima!,50,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Mama, profesor sa te faci, sigur vor intelege elevii totul de la dvs !",70,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Super episoade! 
In curand o sa postez primul video pe canalul meu, realizat cu ajutorul acestor tutoriale si nu numai. 
Iti multumesc pentru ele! 
Spor!",153,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Exact ce aveam nevoie!
Multumesc mult!!!👏👏👏",43,https://www.youtube.com/watch?v=-4NM-ltbHsQ
felicitari,10,https://www.youtube.com/watch?v=-4NM-ltbHsQ
acum vai face meme uri bune,27,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Foarte fain tutorialul! Câte episoade vor fi în total?,54,https://www.youtube.com/watch?v=-4NM-ltbHsQ
foarte tare esti,16,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Multumesc mult ❤ un om care face munca din placere nu pentru bani! Respect,74,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Foarte tare,chiar cautam un tutorial bine explicat, si in romana, ca acesta!",76,https://www.youtube.com/watch?v=-4NM-ltbHsQ
17:40(greșeală)ai luat camera in primul cadru cu mâna stângă și în al 2-lea a apărut în mana drepta.,100,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Esti genial si iti multumesc pentru seria asta! :) ma ajuta enorm,65,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Salut!Pe un laptop Hp de gaming cu un i7 6700hq, un gtx950m 4gb si 8 gb ram DDR3 (vreau sa mai pun o plăcuță de 8) imi sacadează?",129,https://www.youtube.com/watch?v=-4NM-ltbHsQ
62  de mi se vizionări 💪forță💪,30,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Toata stima si respectul pentru munca depusa!!,46,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Esti un om de nota 100, foarte, foarte tare!! Chiar cautam pe cineva care sa aiba asa stil sa am de unde invata! Respect, jos pălăria!",134,https://www.youtube.com/watch?v=-4NM-ltbHsQ
esti genial,11,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Mersi de tutorial,17,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Yes! Haha, mersi fain!",22,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Foarte bine prezentat si explicat! Respect!,43,https://www.youtube.com/watch?v=-4NM-ltbHsQ
EU nu pot SA editez CA am 2 monitoare nu unu 🤣🤣🤣,48,https://www.youtube.com/watch?v=-4NM-ltbHsQ
de ce nu explici cum dai zoom?,30,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Esti genial man! Mult succes! Big up!,37,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Bro, chiar m.au ajutat destul de mult toate cele explicate de tine! #RESPECT!",77,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"wait, ai fost la cursurile CM?",30,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Mi-a placut,11,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Multumesc! chiar cautam un tutorial de genul acesta,51,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Am un i5 8gb ram si grafica e direct de pe procesor. O sa imi mearga?,69,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Uite că nu mi.a fost lene sa caut (Facebook Emanuel) super clean, profi. Spor!",78,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"superb . Ceva pe intelesul meu. Sper sa ma descurc,daca nu iti las mesaj :D",75,https://www.youtube.com/watch?v=-4NM-ltbHsQ
imi place foarte mult ce faci. felicitari...sper sa continui cu astfel de videouri,82,https://www.youtube.com/watch?v=-4NM-ltbHsQ
super fain! dar oare cum ai dat zoom in timp ce dadeai cut? ca nu stiu cum sa maresc partea unde sunt videourile si audiourile,126,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Ce recomanzi pentru editare Mac sau windows?,44,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"iti multumesc enorm, enorm de mult!",35,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Salut. De ce nu Davinci Resolve? :),35,https://www.youtube.com/watch?v=-4NM-ltbHsQ
i5 2500 10 gb ram si r8 rx390 4 gb duce,39,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Bravo așteptăm și despre Adobe Photoshop  😁💪💪💪,46,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Sunt sigur ca va fi un super tutorial! Up Up! hai cu algoritmul :),66,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Salut, crezi ca ar fi bun sistemul de GAMING Corvus pentru editare video?",73,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"salut, ar fi interesant sa lasi si clipul de lucru in descriere ca sa exersam pe acelasi material :) In rest respect maxim pt treaba pe care o faci <3",150,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Foarte bună explicație. Mulțumesc,33,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Multumesc frumos, foarte folositor. M-a ajutat mult!",52,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Skip intro 😴 7:18,17,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Parca imi vine destul de usor sa invat daca am editat pana acum in vegas, nu?",77,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Foarte mișto clipul! O întrebare, cu ce ai făcut screen recording? Vad ca apar și tastele folosite, si click-uri marcate la început. Mersi fain!",144,https://www.youtube.com/watch?v=-4NM-ltbHsQ
esti bun omule !,16,https://www.youtube.com/watch?v=-4NM-ltbHsQ
frate am um i3 3.90 ghz si 16 gb ram,36,https://www.youtube.com/watch?v=-4NM-ltbHsQ
13:33 cum dai zoom mai mare ?,29,https://www.youtube.com/watch?v=-4NM-ltbHsQ
foarte tare acest video.,24,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Ft bun clipul...informativ... Felicitări! se poate sa faci un clip video  și cu folosirea  tranzitiilor!,104,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Ms mult!Canalul meu are acum 100 de vizionar zilnic te ador!!!!👏🏻👏🏻👏🏻👍🏻👍🏻,73,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Noroc! O intrebare daca am filmat si 4k si fullhd, atunci cand fac secventa o fac pe ce format?",95,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Salut, vreau sa fac filmari pe balta, vreau sa imi iau un aparat sony zv1  este bun pentru ce vreau sa fac?",107,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Salut! Imi poti recomanda si o placa de baza compatibila cu componentele si ce tastatura ai in tutoriala imi place mult asa slim. Multumesc!,140,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Tot respectul meu... >:D<,25,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Poți face episoade cum sa editezi de pe telefon pentru că eu nu am laptop sau calculator,88,https://www.youtube.com/watch?v=-4NM-ltbHsQ
este destul daca am rtx 2070 si i7 10gen si 16 gb,49,https://www.youtube.com/watch?v=-4NM-ltbHsQ
si pt gaming e buna?,20,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Gg, ba omule! M ai ajutat foarte muuult. Iti multumesc",54,https://www.youtube.com/watch?v=-4NM-ltbHsQ
cel mai bun. de la nimeni nu am inteles un program pana acuma mai bine decat de la tine,87,https://www.youtube.com/watch?v=-4NM-ltbHsQ
daca imi sacadeaza la preview si totusi il salvez o sa mearga tot sacadat?,74,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"De unde pot lua niste video uri ca vreau 
sa incerc sa editez",61,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Shut up and take my sub! Foarte bun acest tutorial. Ieri m-am uitat la un vlogger care arata cum isi editeaza videoul, dar era un chaos total. Multumita tie nu mai este nevoie sa fiu ""panicat"" cand vine vorba de editare :)) Good job!",233,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Un video blanao ca de obicei👍Eu as vrea sa vad un video in care editezi in ADOBE RUSH.,86,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Sincer mie îmi place mai mult Davinci resolve. E mai complex, mai bine organizat și e și gratis🙃 Sper că nu mă vei critica pentru asta. E doar opinia mea",153,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Ar trebui filmat mereu 4k, ca sa poti face crop daca ai nevoie. Iar videoul final e suficient 1080p.",100,https://www.youtube.com/watch?v=-4NM-ltbHsQ
esti tare,9,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Super👏👏👏 BRAVO !!! 
    La cât mai multe clipuri ! 🎥",52,https://www.youtube.com/watch?v=-4NM-ltbHsQ
De ce ai un content asa bun si doar 600 de likes?,49,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Mersi frate esti foarte tare!,29,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Probabil că sunt singurul căruia i place să exploreze singur ),62,https://www.youtube.com/watch?v=-4NM-ltbHsQ
salut eu primesc o eroare ce pot sa fac?,40,https://www.youtube.com/watch?v=-4NM-ltbHsQ
Premier pro are free-trial?,27,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Bro, o mica parere, ai facut un intro de vreo 4 minute",54,https://www.youtube.com/watch?v=-4NM-ltbHsQ
18,2,https://www.youtube.com/watch?v=-4NM-ltbHsQ
cum pot salva clipul si sa il pot pune pe yt?,45,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Ce util, multumesc mult! eu ma chinuiam la zoom out sa tin minte cr valoare initiala aveam la scale si dupa sa revin la ea. sau pozam cu telefonul ecranul laptopului sa imi ramana valorile, in caz ca vreau sa repet mai tarziu zoom si pt ca mi se parea mie ca arata uniform daca merg pe aceleasi valori :))) si keyframes m au terminat psihic pana m am prins care e treaba cu ele :)))",382,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Foarte tare, big up!",20,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"Salut, am o problema, cand incerc sa importez un clip mai mare(de ex. 3+ gb) primesc not responding si trebuie sa inchid programul fortat... o solutie?",151,https://www.youtube.com/watch?v=-4NM-ltbHsQ
"13:34. Cum dai zoom? Gen, pe ce buton de pe tasta apesi?",56,https://www.youtube.com/watch?v=-4NM-ltbHsQ
