raw text,text_length,source
"Eu am terminat facultatea de Energetica din cadrul Universitatii Politehnica din Bucuresti. Specializarea mea este energetica si tehnologii nucleare, am facut si un masterat in japonia, unde am avut un studiu de disertatie legat de Fukushima, dar de fiecare data cand aud un contor Geiger-Muller, mi se face pielea de gaina, nimic nu este mai inspaimantator decat un dusman invizibil.",384,https://www.youtube.com/watch?v=Z9VuwniHNyg
Cine-a venit aici dupa ce-a vazut Cernobîl pe HBO? :)),54,https://www.youtube.com/watch?v=Z9VuwniHNyg
Recomand sa vă uitați la serialul Chernobyl!!! Superb!!!,56,https://www.youtube.com/watch?v=Z9VuwniHNyg
"ce mi-aş dori să ajung şi eu acolo, superbe imagini, mişto montaj, pare un film post-apocalipsă, îţi dau lacrimile :)",117,https://www.youtube.com/watch?v=Z9VuwniHNyg
Urmatorul video: “Mi a crescut un al 3 lea brat”,48,https://www.youtube.com/watch?v=Z9VuwniHNyg
Cel mai bun documentar romanesc despre Cernobyl. Jos palaria! Multumim!,71,https://www.youtube.com/watch?v=Z9VuwniHNyg
"50,000 people used to live here. Now it's a ghost town.",55,https://www.youtube.com/watch?v=Z9VuwniHNyg
"Chernobyl pe HBO arata cum s-a ajuns aici.


De asemenea arata cum sovieticii tineau mai mult la imagine decat la viata cetatenilor.",132,https://www.youtube.com/watch?v=Z9VuwniHNyg
"Atenție!!! Videoclip radioactiv,☢️ e filmat la Cernobyl...",58,https://www.youtube.com/watch?v=Z9VuwniHNyg
"Ai făcut o treabă grozavă! Nu am văzut un documentar mai bun , în limba romană . Felicitări !",93,https://www.youtube.com/watch?v=Z9VuwniHNyg
"Pe alocuri... ți se face părul ""măciucă"". 
Prefer să văd documentarul, decât să ajung pe-aici.",94,https://www.youtube.com/watch?v=Z9VuwniHNyg
"Credeam ca stiu engleza, inainte sa aud ghidul acesta :)))",58,https://www.youtube.com/watch?v=Z9VuwniHNyg
Vă respect pentru curajul de a merge acolo !cernobalul a lăsat urme grave din păcate .,86,https://www.youtube.com/watch?v=Z9VuwniHNyg
Sa vadă Montrey asta:),22,https://www.youtube.com/watch?v=Z9VuwniHNyg
Felicitări pentru curajul de a merge acolo. Noua ne e frica sa mergem si la vot...,82,https://www.youtube.com/watch?v=Z9VuwniHNyg
"Foarte interesant si sinistru :(
Dar din cate am inteles, in prezent cam toti  din zona sufera cu glanda tirodida, nu ?",119,https://www.youtube.com/watch?v=Z9VuwniHNyg
