raw text,text_length,source
arnold in tinerete,18,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"m-am uitat la bratele lui Iohannis si am ramas gravida
EDIT: nu mai faceti debate despre vaccin in raspunsurile comentariului, aici e vorba despre sarcina mea si despre brandul lui Iohannis nu despre covid 🥰 (dar totusi purtati masti sa scapam si noi de pandemie )",264,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Daca cand eram mic mi-am dorit sa arat ca TheRock acuma vreau sa arat ca Klaus Iohannis,87,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Procentul de80% din comentarii este despre bratele lui Ciocanis :))),68,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
deci d'aia nu s a vaccinat in prima tura sa aiba o peroada de efectuat flotari,78,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Acuma o sa vorbească mai mult.,30,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Dragnea has left the chat,25,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Arnold left the chat,20,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Cred ca a fost preselectie la asistentele care sa il vaccineze,62,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
PENTRU UN STAND UP CORECT CITITI COMENTARIILE :)),49,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Ce brate are nebunu ! ITI DA UNA DE TE BAGA N  IZOLARE !,56,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
M-am apucat sa fac flotari cand am vazut muschii aia... zici ca e Terminator,76,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"Nu e vaccin , i-au bagat doar doza sa obisnuita de steroizi ...",63,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Vedeți i-a făcut vaccinul cu acul mai gros să încapă și cablul de la chip,73,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
Ce te incordezi așa patroane?,29,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
"Nici nu știu de ce se chinuie dom președinte atât sa ii convingă pe oameni sa se vaccineze, la cum arata poate sa ii bata pana se vaccinează",140,https://www.youtube.com/watch?v=064z-JsBv0Q&ab_channel=TVR
