raw text,text_length,source
4:09 Ceaușescu mode On :)),26,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
E normal sa tina cu Dorian doar este angajatul Antenei,54,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
"Eu in locul li Adrian Niculescu nu îmi pierdeam timpul cu niște idioți, se vede de la o posta că e un inteligent într-o grămadă de prosti. Vorba aia prosti că prosti dar is multi",178,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
esti actrita dar pe timpul tau mamaie nu se facea twerk,55,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
Astia de la antene sunt retardati... rau de tot,47,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
Nu vedeți cum vorbește Adrian și cum vorbiți voi? E cu mult peste voi.,70,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
"Cei din platou nu au ce sta cu Cristian Niculescu ,acei oameni care comenteaza orice desi nu sunt in domeniu.",109,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
CE DRACU VREA SI PIZDA AIA DE 100 ANI,37,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
"Mie nu-mi vine să cred frate...Îmi pare rău pentru Adrian ca s-a înjosit, efectiv s-a înjosit venind să discute cu niste oamenii care l-au luat în râs..Pai cum frate să începi să schimbi ceva în țara asta când ești luat la mișto.
Se vede clar cât de aroganți si superiori se dau aceste ""vedete"" , până la urmă ce calitate au ei să-si dea ei cu părerea, zici ca e mare stabor de țigănie, Efectiv nu au vrut să-l asculte frate, de parcă cine ar fii Niculescu??? Fraților ,noi de oameni ca el avem nevoie în țara asta , dar se pare că intradevar se cere tot mai mult prostia la tv si nu numai, de asta nu ajungem nicăieri că ne lăsăm manipulați, furați si conduși de ""terchea berchea"" 
Adrian Niculescu, după părerea mea , e un om de un mare Respect , pentru că e un om inteligent cu capul pe umeri si Realist si chiar dorește cu adevărat să se întâmple ceva bun în țară asta si chiar cu urmașii aceste țări, dacă vom reusii să ne păstrăm Țara...",943,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
Psd=Antena,10,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
Uitati prostia cum iese la suprafata,36,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
Acest video ma făcut sa cred ca Acces Direct e o mizerie...ei cică vor sa ajute lume dar acest video arată că ii pupă in cur pe vedete pentru niște retink.,155,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
"Tot respectul pentru Adrian Niculescu,in alte tari civilizate astfel de comportamente vazute la copii sunt inadmisibile si aici are dreptate din punctul meu de vedere",166,https://www.youtube.com/watch?v=0rXmgGDq18M&ab_channel=4ARabs
