raw text,text_length,source
Mare ciudă pe Hash ăsta :))),28,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
Frate de ce dreaq îl băgați pe Lino in discuția asta ca săracul nu e in Stare sa lege 2 fraze ...?,98,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
Când stau și ma gândesc ca vecinul de sus este polițist și o data pe săptămână face câte o petrecere și nu pățește nimic . Pare ceva dubios aici ?🤨🤨,148,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
"Ciudat sa-l vezi pe mikey hash vorbind de aroganta. Domnul mihai cum ne vorbea el de succes si cat de bine ii merge lui, bmw-uri, academii de vloging, concursuri, doze de cola, el n-a adoptat o atitudine aroganta niciodata, acest Mr.Succes al nostru.",250,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
Va cam da batai de cap copilul asta si asta va deranjaza defapt.,64,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
"Mickey e răutăcios, probabil il roade ca un ""copchil"" l-a luat la urmaritori.",77,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
"Îl urmăresc pe Mihai de la începutul dozei, dar după ce am văzut cât e de frustrat, mi-am dat seama că e o pierdere de timp ..",126,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
Hasule te credeam om mai serios dar pt 2000 de euro te ai vinde oricui🤣🖕,72,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
S-a simtit Mihai Alexandru Hash cand a zis de oamenii de 40 de ani:))))),72,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
"Andy popescu asaltat de jandarmi si abuzat, jandarmi incalca legea
Nimeni: nimic..
Ziua lui Selaru 
Toti: selly a incalcat legea",128,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
"Tot ce stie lumea despre mikey e ca a prezentat doza de has, nimic mai mult",75,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
"te ai simtit grav prietene, urla ciuda n tine",45,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
"Niste probleme de interes national, aceasta stire pe toate televiziunile, felicitari.",85,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
"O porcărie de emisiune a devenit in parcursul anilor! Oameni ‘’maturi’’ discuta in necunoștință de cauza și înțeleg ce vor ei, atât timp cât Selly a explicat și etc! Dar așa e lumea la noi..de ce nu l-a chemat pe Selly Măruță sa explice situația?! Pentru ca vor sa mai facă Selly un videoclip pe YouTube sa mai iasă și ei in evidentă in titlu. Ei nu înteleg ca sunt expirați și sunt frustrați ca generația noua le i-a fața!!! Oricum lumea le vede fata și ce vor ei sa facă, sa îmbârlige..ca asta știu sa facă oamenii rai și afurisiți! Treziți-va oamenilor și vedeți realitatea!!",578,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
Lino :))) ce cauta el in acest interviu 😂😂,42,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
"Atat de perversi sunt oamenii astia, jur..
Acum cateva luni, Maruta il chema pe Selly la emisiune si era totul fain si frumos iar acum vorbeste despre el si trage concluzii fara sens, de antea 3 nici nu mai zic.. Mircea Badea si restu, ipocrizie maxima",252,https://www.youtube.com/watch?v=aiJGsiQOTnI&t=1206s&ab_channel=CatalinMaruta
