raw text,text_length,source
"Frumos, bine lucrat",19,https://www.youtube.com/watch?v=kwHlfh_ovmk
baiatu' stie meserie!!! te-ai facut cu inca un subscriber,57,https://www.youtube.com/watch?v=kwHlfh_ovmk
"Mulțumesc frumos pentru rețetă, incerc neapărat aluatul! 👍",58,https://www.youtube.com/watch?v=kwHlfh_ovmk
Aluat perfect! Felicitari!,26,https://www.youtube.com/watch?v=kwHlfh_ovmk
Super reteta! Un aluat usor de facut si foarte bun! 😍,53,https://www.youtube.com/watch?v=kwHlfh_ovmk
Am facut pizza voastra de doua ori si mi-a iesit perfect!😀😀😀,60,https://www.youtube.com/watch?v=kwHlfh_ovmk
felicitari!,11,https://www.youtube.com/watch?v=kwHlfh_ovmk
Respect propund😀,16,https://www.youtube.com/watch?v=kwHlfh_ovmk
Mulțumesc mult pentru răspuns 😎,31,https://www.youtube.com/watch?v=kwHlfh_ovmk
Felicitări 👏👏😘,14,https://www.youtube.com/watch?v=kwHlfh_ovmk
Sper tare❤️,11,https://www.youtube.com/watch?v=kwHlfh_ovmk
Un aluat perfect! ... se poate si o reteta cu sosul alb?,56,https://www.youtube.com/watch?v=kwHlfh_ovmk
super...mulțumesc,17,https://www.youtube.com/watch?v=kwHlfh_ovmk
"Am 13 ani, și omu asta efectiv m a anvatat sa fac pizza :))",59,https://www.youtube.com/watch?v=kwHlfh_ovmk
10+ foarte bună!,16,https://www.youtube.com/watch?v=kwHlfh_ovmk
Daca voi pune aluatul la dospit peste noapte ce se va întâmpla ?,64,https://www.youtube.com/watch?v=kwHlfh_ovmk
multumesc peefortul de a posta astfel de invataturi de a face pizza....multumesc ca existi :)))),96,https://www.youtube.com/watch?v=kwHlfh_ovmk
Mi a ieșit o pizza deliciosa😍,29,https://www.youtube.com/watch?v=kwHlfh_ovmk
Bravo bucstaras!,16,https://www.youtube.com/watch?v=kwHlfh_ovmk
"Bună, se poate congela aluatul de pizza?",40,https://www.youtube.com/watch?v=kwHlfh_ovmk
👍👏,2,https://www.youtube.com/watch?v=kwHlfh_ovmk
🤗,1,https://www.youtube.com/watch?v=kwHlfh_ovmk
Avem un aluat clicos ce putem face?,35,https://www.youtube.com/watch?v=kwHlfh_ovmk
"Domnule George Toader vă felicit pentru reţeta dvs de Pizza !Vă urez mult succes ,Hristos a Înviat ,ADELA din Bucureşti",119,https://www.youtube.com/watch?v=kwHlfh_ovmk
Bravoooo,8,https://www.youtube.com/watch?v=kwHlfh_ovmk
Mi sa făcut poftă,17,https://www.youtube.com/watch?v=kwHlfh_ovmk
ai putea sa prepari o pizza numai cu brânză și chifteluțe de post,65,https://www.youtube.com/watch?v=kwHlfh_ovmk
Bravo! Ești bestiall!!,22,https://www.youtube.com/watch?v=kwHlfh_ovmk
Se poate congela aluatul?,25,https://www.youtube.com/watch?v=kwHlfh_ovmk
:))),4,https://www.youtube.com/watch?v=kwHlfh_ovmk
❤️,2,https://www.youtube.com/watch?v=kwHlfh_ovmk
"Și mamaie face pizza la fel ca dumneavoastra, domnu italian",59,https://www.youtube.com/watch?v=kwHlfh_ovmk
Ești un bucătar Bun,19,https://www.youtube.com/watch?v=kwHlfh_ovmk
"Foarte misto tipul, foarte profi, foarte simplu, foarte pe scurt si s-a facut inteles de catre toti. BRAVO!! TOT RESPECTUL! multumesc !😎",136,https://www.youtube.com/watch?v=kwHlfh_ovmk
Pizza a iesit o nebunie.f buna.am facut pt prima data.singura pizza care mi.a iesit.felicitari😊.multumesc.,106,https://www.youtube.com/watch?v=kwHlfh_ovmk
Faina?! Cât?500 sau?,20,https://www.youtube.com/watch?v=kwHlfh_ovmk
"DA  MĂ  , EȘTI  MESERIAȘ.",25,https://www.youtube.com/watch?v=kwHlfh_ovmk
"Daca doresc sa fac jumatate din cantitate (2 pizza in acest caz) si injumatatesc ingredientele, trebuie sa injumatatesc si cantitatea de drojdie folosita? Daca da, mai are putere de crestere aluatul?",199,https://www.youtube.com/watch?v=kwHlfh_ovmk
Cum fac si eu sa nu mi se mai prajeasca prea mult blatul dedesupt?am dat cuptorul incet,87,https://www.youtube.com/watch?v=kwHlfh_ovmk
👏,1,https://www.youtube.com/watch?v=kwHlfh_ovmk
👍👍👍👍👍👍👍👍👍👍👍,11,https://www.youtube.com/watch?v=kwHlfh_ovmk
arata bine. eu am facut o pizza speciala pt ursi . o poti vedea pe canalul meu,78,https://www.youtube.com/watch?v=kwHlfh_ovmk
Putem pastra aluoatu la congelator pu a doua zi????,51,https://www.youtube.com/watch?v=kwHlfh_ovmk
Cine se uita 2020,17,https://www.youtube.com/watch?v=kwHlfh_ovmk
Eu ám facut si mia esti.  Super.  Multumesc.  De.  Ajutor.  Acum sunt incantata. Ca pot facie si eu pizza.  Lá copi mei.  Multumesc.  Super.   👌👌👌👌👌👍👍👍👍🤝🤝,154,https://www.youtube.com/watch?v=kwHlfh_ovmk
Nu ansua 😣😭,11,https://www.youtube.com/watch?v=kwHlfh_ovmk
Se poate fara ansoa ?,21,https://www.youtube.com/watch?v=kwHlfh_ovmk
