raw text,text_length,source
"Materialul acesta trebuie prezentat in scoli, la orele de istorie! Jos palaria pentru munca depusa!",99,https://www.youtube.com/watch?v=uUbN6DXJwFg
I'm Belgian and my Romanian girlfriend made me watch this. 3 hours well spent,77,https://www.youtube.com/watch?v=uUbN6DXJwFg
Mi-ași dori ca acest documentar să fie publicat pe Netflix.,59,https://www.youtube.com/watch?v=uUbN6DXJwFg
C'est la première fois de ma vie que je regrette - et ô combien ! - qu'un film de trois heures soit si court ...,112,https://www.youtube.com/watch?v=uUbN6DXJwFg
Recorder...veti ajunge mari!! Important e sa nu va lasati influentati politic!!!,80,https://www.youtube.com/watch?v=uUbN6DXJwFg
Ganditi-va peste 20-30 ani cum va iesi un documentar de genul asta cu politicienii actuali...,93,https://www.youtube.com/watch?v=uUbN6DXJwFg
"Mie acest documentar mi-a fost pus la școală de profesoara de educație socială! Numai eu si vreo doi trei copii erau atenti! Restul sa jucau pe telefoane! Pentru asemenea dezinteres sa le fie rusine! Pentru ca ei si toți cei din generațiile ce vor veni au murit copii la revoluție! Au trecut 30 de ani fascinanti! Atatea întâmplări cu bune cu rele si totusi Romania a progresat! Ba sancționați de Bruxelles ba de puterea străzii separarea puterilor în stat începe  să funcționeze! Numai stiind trecutul putem schimba viitorul! Cine nu isi cunoaște istoria, adică majoritatea colegilor mei, va fi obligat să o retraiasca! Respect si cinste profesoarei, rusine colegilor dezinteresați!",683,https://www.youtube.com/watch?v=uUbN6DXJwFg
Caut pe cineva care se uita la mine cum se uita Sorin Ovidiu Vantu la interviu,78,https://www.youtube.com/watch?v=uUbN6DXJwFg
"""Generatia Tik Tok"", aici. M-am uitat la tot. Multumesc!",56,https://www.youtube.com/watch?v=uUbN6DXJwFg
Am auzit colegi cu varsta sub 30 de ani spunand ca au urmarit documentarul asta in seara de Craciun impreuna cu parintii lor! Bravo Recorder!,141,https://www.youtube.com/watch?v=uUbN6DXJwFg
"Dacă introduceti in licee acest video , o să resimțim un procent mai mare de trezire a națiunuii in urmatorii ani !!!",117,https://www.youtube.com/watch?v=uUbN6DXJwFg
"Capitolul 1 : Povara libertatii ---> 5:27
Capitolul 2 : ,, Am reusit Revolutia , sa reusim si democratia "" ---> 14:00
Capitolul 3 : Bancul de Piranha ---> 28:45
Capitolul 4 : Stagnarea ---> 47:26
Capitolul 5 : Spre Europa ---> 1:09:38
Capitolul 6 : Dormiti linistiti ! ---> 1:32:50
Capitolul 7 : Basescu ---> 2:04:10
Capitolul 8 : Libertatea nu e o povara ---> 2:30:55",368,https://www.youtube.com/watch?v=uUbN6DXJwFg
"Adrian Nastase: "" Cand am privatizat Petrom avea 30 de mii de miliarde datorie"" Dar nu a zis si de ce! Sper sa fie un Dumnezeu sau un Zeu acolo sa faca dreptate ca astia prin moarte scapa usor",192,https://www.youtube.com/watch?v=uUbN6DXJwFg
